账期,地区,城市_乡村,是否上网捆绑,用户类型,接入码,帐目类型,用户数,"话单
张数",通话时长,费用
0803,北部新区局,城市,未捆绑,预付费小灵通,12121,12121增值区间费,1,1,16,0.29
0803,北部新区局,城市,未捆绑,预付费小灵通,12121,12121增值区间费,15,105,37824,66.15
0803,北部新区局,城市,未捆绑,预付费小灵通,966118,966118电话QQ增值市话费,8,209,69623,124.66
0803,北部新区局,城市,未捆绑,预付费小灵通,40088,40088增值市话费,65,190,25295,0
0803,北部新区局,城市,未捆绑,预付费小灵通,12121,12121增值区间费,1,1,18,0.2
0803,北部新区局,城市,未捆绑,预付费小灵通,12121,12121增值区间费,29,90,6755,18.82
0803,北部新区局,城市,未捆绑,预付费小灵通,12121,12121增值区间费,55,81,3828,17.05
0803,北部新区局,城市,未捆绑,预付费小灵通,12121,12121增值区间费,1,3,891,1.37
0803,北部新区局,城市,未捆绑,预付费小灵通,118114,118114增值市话费,37,56,2321,12.15
0803,北部新区局,城市,未捆绑,预付费小灵通,66004,66004增值市话费,1,1,151,0.2
